entity_id,colour_temperature,colour_temperature_value,created_at,dimension,dimmable,dimmable_value,energylabel_type,farbtemperatur_filter,farbtemperatur_filter_value,gtin,label,lamp_holder,lamp_holder_value,lamp_max,lamp_max_value,luminous_flux,luminous_flux_value,luminous_intensity,manufacturer,manufacturer_value,manufacturer_sku,name,price,sku,small_image,thumbnail,updated_at,url_key,variation,variation_value,variation_text,visibility,voltage,voltage_value
152046,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,"L: 144mm, Ø: 34mm",5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300020174,,32360,2G7,33611,9 W,28135,600 lm,,27546,Osram,20174,Kompakt-Leuchtstofflampe 2G7 TC-SEL 9W/840,5,700328,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-9w-840_20140731-63593_426642.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-9w-840_20140731-63593_426642.jpg,2023-02-13 02:55:21,osram-kompakt-leuchtstofflampe-2g7-tc-sel-9w-840-700328,39794,9 W - Neutralweiß 840,9 W - Neutralweiß 840,1,,
152047,27719,Warmweiß Extra 2700 K,2019-06-24 16:12:27,"L: 214mm, Ø: 34mm",5439,Nicht dimmbar,67950,64479,Warmweiß Extra,4050300017662,,32360,2G7,34917,11 W,27871,900 lm,,27546,Osram,17662,Kompakt-Leuchtstofflampe 2G7 TC-SEL 11W/827,5,700329,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-827_20140731-63594_426634.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-827_20140731-63594_426634.jpg,2023-02-13 02:55:21,osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-827-700329,39690,11 W - Warmweiß Extra 827,11 W - Warmweiß Extra 827,1,,
152048,27715,Warmweiß 3000 K,2019-06-24 16:12:27,"L: 214mm, Ø: 34mm",5439,Nicht dimmbar,67950,64483,Warmweiß,4050300589374,,32360,2G7,34917,11 W,27871,900 lm,,27546,Osram,589374,Kompakt-Leuchtstofflampe 2G7 TC-SEL 11W/830,5,700330,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-830_20140731-63595_426745.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-830_20140731-63595_426745.jpg,2023-02-13 02:55:21,osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-830-700330,39692,11 W - Warmweiß 830,11 W - Warmweiß 830,1,,
152049,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,"L: 214mm, Ø: 34mm",5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300020181,,32360,2G7,34917,11 W,27871,900 lm,,27546,Osram,20181,Kompakt-Leuchtstofflampe 2G7 TC-SEL 11W/840,5,700331,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-840_20140731-63596_424560.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-840_20140731-63596_424560.jpg,2023-02-13 02:55:21,osram-kompakt-leuchtstofflampe-2g7-tc-sel-11w-840-700331,39693,11 W - Neutralweiß 840,11 W - Neutralweiß 840,1,,
152050,27715,Warmweiß 3000 K,2019-06-24 16:12:27,"L: 218.3mm, Ø: 7mm",5439,Nicht dimmbar,,64483,Warmweiß,4008321157546,,47997,W4.3,34655,6 W,30914,330 lm,,27546,Osram,1157546,Leuchtstofflampe T2 Mini W4.3 T7 6W/730,26,700274,/o/s/osram-leuchtstofflampe-t2-mini-w4-3-t7-6w-730_20140731-63539_425021.jpg,/o/s/osram-leuchtstofflampe-t2-mini-w4-3-t7-6w-730_20140731-63539_425021.jpg,2023-02-13 02:55:21,osram-leuchtstofflampe-t2-mini-w4-3-t7-6w-730-700274,47893,6 W - Warmweiß 730,6 W - Warmweiß 730,1,,
152061,27719,Warmweiß Extra 2700 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64479,Warmweiß Extra,4050300010748,,28276,2G11,39101,18 W,28849,1200 lm,,27546,Osram,10748,Kompakt-Leuchtstofflampe 2G11 TC-L 18W/827,7,700295,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-827_20140731-63560_426619.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-827_20140731-63560_426619.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-827-700295,39519,18 W - Warmweiß Extra 827,18 W - Warmweiß Extra 827,1,,
152062,27715,Warmweiß 3000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64483,Warmweiß,4050300010731,,28276,2G11,39101,18 W,28849,1200 lm,,27546,Osram,10731,Kompakt-Leuchtstofflampe 2G11 TC-L 18W/830,7,700296,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-830_20140731-63561_425585.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-830_20140731-63561_425585.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-830-700296,39521,18 W - Warmweiß 830,18 W - Warmweiß 830,1,,
152063,27859,Neutralweiß 4000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64480,Neutralweiß,4050300010724,,28276,2G11,39101,18 W,28849,1200 lm,,27546,Osram,10724,Kompakt-Leuchtstofflampe 2G11 TC-L 18W/840,7,700298,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-840_20140731-63563_426320.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-840_20140731-63563_426320.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-18w-840-700298,39522,18 W - Neutralweiß 840,18 W - Neutralweiß 840,1,,
152064,27719,Warmweiß Extra 2700 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64479,Warmweiß Extra,4050300010779,,28276,2G11,39883,24 W,29452,1800 lm,,27546,Osram,10779,Kompakt-Leuchtstofflampe 2G11 TC-L 24W/827,7,700299,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-827_20140731-63564_424444.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-827_20140731-63564_424444.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-827-700299,39882,24 W - Warmweiß Extra 827,24 W - Warmweiß Extra 827,1,,
152065,27715,Warmweiß 3000 K,2019-06-24 16:12:27,Ø: 17.5mm,5439,Nicht dimmbar,67950,64483,Warmweiß,4050300010762,,28276,2G11,39883,24 W,29452,1800 lm,,27546,Osram,10762,Kompakt-Leuchtstofflampe 2G11 TC-L 24W/830,7,700300,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-830_20140731-63565_426672.jpg,/o/s/osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-830_20140731-63565_426672.jpg,2023-02-13 02:55:22,osram-kompakt-leuchtstofflampe-2g11-tc-l-24w-830-700300,39884,24 W - Warmweiß 830,24 W - Warmweiß 830,1,,
